"provincia","canton","provincia_norm","canton_norm","gid_1","gid_2"
"Azuay","CamiloPonceEnriquez","azuay","camiloponceenriquez","ECU.1_1","ECU.1.1_1"
"Azuay","Chordeleg","azuay","chordeleg","ECU.1_1","ECU.1.2_1"
"Azuay","Cuenca","azuay","cuenca","ECU.1_1","ECU.1.3_1"
"Azuay","ElPan","azuay","elpan","ECU.1_1","ECU.1.4_1"
"Azuay","GirÃ³n","azuay","gira³n","ECU.1_1","ECU.1.5_1"
"Azuay","Guachapala","azuay","guachapala","ECU.1_1","ECU.1.6_1"
"Azuay","Gualaceo","azuay","gualaceo","ECU.1_1","ECU.1.7_1"
"Azuay","NabÃ³n","azuay","naba³n","ECU.1_1","ECU.1.8_1"
"Azuay","OÃ±a","azuay","oa±a","ECU.1_1","ECU.1.9_1"
"Azuay","Paute","azuay","paute","ECU.1_1","ECU.1.10_1"
"Azuay","PucarÃ¡","azuay","pucara¡","ECU.1_1","ECU.1.11_1"
"Azuay","SanFernando","azuay","sanfernando","ECU.1_1","ECU.1.12_1"
"Azuay","SantaIsabel","azuay","santaisabel","ECU.1_1","ECU.1.13_1"
"Azuay","SevilladeOro","azuay","sevilladeoro","ECU.1_1","ECU.1.14_1"
"Azuay","Sigsig","azuay","sigsig","ECU.1_1","ECU.1.15_1"
"Bolivar","Caluma","bolivar","caluma","ECU.2_1","ECU.2.1_1"
"Bolivar","Chillanes","bolivar","chillanes","ECU.2_1","ECU.2.2_1"
"Bolivar","Chimbo","bolivar","chimbo","ECU.2_1","ECU.2.3_1"
"Bolivar","EcheandÃ­a","bolivar","echeanda­a","ECU.2_1","ECU.2.4_1"
"Bolivar","Guaranda","bolivar","guaranda","ECU.2_1","ECU.2.5_1"
"Bolivar","LasNaves","bolivar","lasnaves","ECU.2_1","ECU.2.6_1"
"Bolivar","SanMiguel","bolivar","sanmiguel","ECU.2_1","ECU.2.7_1"
"CaÃ±ar","Azogues","caa±ar","azogues","ECU.3_1","ECU.3.1_1"
"CaÃ±ar","BibliÃ¡n","caa±ar","biblia¡n","ECU.3_1","ECU.3.2_1"
"CaÃ±ar","CaÃ±ar","caa±ar","caa±ar","ECU.3_1","ECU.3.3_1"
"CaÃ±ar","DÃ©leg","caa±ar","da©leg","ECU.3_1","ECU.3.4_1"
"CaÃ±ar","ElTambo","caa±ar","eltambo","ECU.3_1","ECU.3.5_1"
"CaÃ±ar","LaTroncal","caa±ar","latroncal","ECU.3_1","ECU.3.6_1"
