issue_id,run_id,issue_type,natural_key,detail
652b8fda-8577-414f-bbca-8b5fee8d9ce6,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,"escuela politecnica nacional|maestria en automatizacion y control electronico industrial|ingenieria, industria y construccion|cuarto nivel o posgrado|presencial|pichincha|quito","{""row_index"": 84, ""row_hash"": ""0bbdd25bfa56559182934da8497c11eac35a3d377d403d51412293101a2c40c7""}"
f030398d-3d80-40cd-96fa-3c2f6f7f23ff,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,"escuela politecnica nacional|maestria en automatizacion y control electronico industrial|ingenieria, industria y construccion|cuarto nivel o posgrado|presencial|pichincha|quito","{""row_index"": 106, ""row_hash"": ""0bbdd25bfa56559182934da8497c11eac35a3d377d403d51412293101a2c40c7""}"
887b2026-b82b-4985-96ca-8bd60e5963d5,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad de cuenca|licenciatura en ciencias de la educacion con mencion en educacion intercultural bilingue|educacion|tercer nivel o pregrado|semipresencial|pastaza|,"{""row_index"": 1631, ""row_hash"": ""a8367e92dad80caca2b5203d4590d21a4d1f4269123f51d4f5c065cbc9f283a0""}"
463665a2-df6d-404d-9a2e-17365af76e17,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad de cuenca|licenciatura en ciencias de la educacion con mencion en educacion intercultural bilingue|educacion|tercer nivel o pregrado|semipresencial|pastaza|,"{""row_index"": 1632, ""row_hash"": ""a8367e92dad80caca2b5203d4590d21a4d1f4269123f51d4f5c065cbc9f283a0""}"
bea1ceb4-7a94-4ecb-9048-3e31a667c90c,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad de cuenca|licenciatura en ciencias de la educacion con mencion en educacion intercultural bilingue|educacion|tercer nivel o pregrado|semipresencial|pastaza|,"{""row_index"": 1633, ""row_hash"": ""a8367e92dad80caca2b5203d4590d21a4d1f4269123f51d4f5c065cbc9f283a0""}"
00a1f8f8-d189-44e2-acf1-1b8b3b304247,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad de cuenca|licenciatura en ciencias de la educacion con mencion en educacion intercultural bilingue|educacion|tercer nivel o pregrado|semipresencial|moronasantiago|,"{""row_index"": 1634, ""row_hash"": ""cf67a587fd1d884ea0ee78d9920c92d707a5e343c57ca4ff24e3c54d54e451a0""}"
b089285e-d1b1-4473-9b55-88dbb069ec44,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad de cuenca|licenciatura en ciencias de la educacion con mencion en educacion intercultural bilingue|educacion|tercer nivel o pregrado|semipresencial|moronasantiago|,"{""row_index"": 1635, ""row_hash"": ""cf67a587fd1d884ea0ee78d9920c92d707a5e343c57ca4ff24e3c54d54e451a0""}"
6afa24a4-b684-4b8e-95a5-4da091742e18,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad nacional de loja|tecnologia agropecuaria|agricultura|tercer nivel tecnico superior|presencial|loja|,"{""row_index"": 1873, ""row_hash"": ""2214f9d0c651a1d22138092c841a1dd6453a910791d37af018079d3b7f057cfb""}"
92c70e40-df80-4998-ab73-2ffad733b9c9,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad nacional de loja|educacion basica|educacion|tercer nivel o pregrado|presencial|loja|,"{""row_index"": 1875, ""row_hash"": ""4f7853e03511806534bc8b0995d785edcadd7710653d314c650a29c9715833c6""}"
2f86e99f-d531-4a63-a3b2-5cd95a204648,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad nacional de loja|tecnologia agropecuaria|agricultura|tercer nivel tecnico superior|presencial|loja|,"{""row_index"": 1876, ""row_hash"": ""2214f9d0c651a1d22138092c841a1dd6453a910791d37af018079d3b7f057cfb""}"
3f26ddc6-2f97-455e-9c4c-c7160d6c2198,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad nacional de loja|tecnologia agropecuaria|agricultura|tercer nivel tecnico superior|presencial|loja|,"{""row_index"": 1877, ""row_hash"": ""2214f9d0c651a1d22138092c841a1dd6453a910791d37af018079d3b7f057cfb""}"
a5511a58-5376-4399-8b9f-34fc2b530a3b,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,duplicate_natural_key,universidad nacional de loja|informatica educativa|educacion|tercer nivel o pregrado|presencial|loja|,"{""row_index"": 1934, ""row_hash"": ""223605ae85503fefe2b88b1c07e38bbe37a76241f7bb6858b56bba09f2f535f9""}"
